sample_id,citation,doi,table_or_figure,extraction_route,region,site,site_lat,site_long,ceramic_type,period,date_range_from,date_range_to,d13C_16_0,d13C_18_0,delta_13C,d2H_16_0,author_assignment,extraction_method,derivatisation,instrument,lab,value_from,extraction_confidence,flags
DBC1,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Plain bowl,Neolithic (unspec),,,-30.8,-33.3,-2.5,,ruminant adipose,,,GC-C-IRMS,,table,high,
DBC3,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Carinated bowl,Neolithic (unspec),,,-28.6,-33.3,-4.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC7,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Carinated bowl,Neolithic (unspec),,,-28.4,-33.9,-5.5,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC8,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Carinated bowl,Neolithic (unspec),,,-28.8,-33.9,-5.1,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC9,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Carinated bowl,Neolithic (unspec),,,-29.0,-34.3,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,d18_out_of_C3_range
DBC11,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Carinated bowl,Neolithic (unspec),,,-30.1,-34.8,-4.7,,ruminant dairy,,,GC-C-IRMS,,table,high,d18_out_of_C3_range
DBC12,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Plain bowl,Neolithic (unspec),,,-28.8,-31.6,-2.8,,ruminant adipose,,,GC-C-IRMS,,table,high,
DBC13a,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Carinated bowl,Neolithic (unspec),,,-30.1,-32.8,-2.7,,ruminant adipose,,,GC-C-IRMS,,table,high,
DBC20,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.3,-32.1,-2.8,,ruminant adipose,,,GC-C-IRMS,,table,high,
DBC21,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.3,-33.6,-4.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC22,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.3,-33.6,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC25,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.6,-32.6,-4.0,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC28,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.0,-33.3,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC29,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.4,-31.8,-3.4,,,,,GC-C-IRMS,,table,high,
DBC31,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-27.3,-32.4,-5.1,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC32,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.5,-31.7,-3.2,,ruminant adipose,,,GC-C-IRMS,,table,high,
DBC35,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.0,-33.8,-4.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC36,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.9,-34.6,-4.7,,ruminant dairy,,,GC-C-IRMS,,table,high,d18_out_of_C3_range
DBC37,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.9,-33.1,-4.2,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC39,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-26.7,-32.5,-5.8,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC42,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-27.6,-32.9,-5.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC45,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.0,-33.6,-4.6,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC46,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-27.5,-32.2,-4.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC50,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.4,-34.0,-4.6,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC51,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.1,-34.3,-6.2,,ruminant dairy,,,GC-C-IRMS,,table,high,d18_out_of_C3_range
DBC55,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.0,-33.6,-5.6,,ruminant dairy,,,GC-C-IRMS,,table,high,
DBC57,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.4,-33.1,-4.7,,ruminant dairy,,,GC-C-IRMS,,table,high,
Dl,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Cup,Neolithic (unspec),,,-29.5,-33.5,-4.0,,ruminant dairy,,,GC-C-IRMS,,table,high,
D2,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Cup,Neolithic (unspec),,,-28.9,-33.0,-4.1,,ruminant dairy,,,GC-C-IRMS,,table,high,
D4,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Cup,Neolithic (unspec),,,-28.9,-33.0,-4.1,,ruminant dairy,,,GC-C-IRMS,,table,high,
D6,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Cup,Neolithic (unspec),,,-29.0,-31.8,-2.8,,ruminant adipose,,,GC-C-IRMS,,table,high,
D9,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-28.6,-31.8,-3.2,,ruminant adipose,,,GC-C-IRMS,,table,high,
D12,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.6,-31.4,-1.8,,ruminant adipose,,,GC-C-IRMS,,table,high,
D14,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.6,-33.8,-4.2,,ruminant dairy,,,GC-C-IRMS,,table,high,
D15,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.7,-33.2,-3.5,,ruminant dairy,,,GC-C-IRMS,,table,high,
D20,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.4,-33.4,-4.0,,ruminant dairy,,,GC-C-IRMS,,table,high,
D26,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Eton Rowing Lake,,,Bowl,Neolithic (unspec),,,-29.3,-33.6,-4.3,,ruminant dairy,,,GC-C-IRMS,,table,high,
WH5,Copley et al. 2005 (III),10.1016/j.jas.2004.08.006,Appendix 1,tierB_llm,Britain,Windmill Hill,,,Plain bowl,Neolithic (unspec),,,-27.0,-29.6,-2.6,,mixed,,,GC-C-IRMS,,table,high,
